"SgnDate","Term","Shibor"
"2007-02-17","6个月","2.87300"
"2007-02-25","1天","1.81470"
"2007-02-25","1年","3.00280"
"2007-02-25","14天","3.02970"
"2007-02-25","7天","2.91020"
"2007-02-25","90天","2.86540"
"2007-02-25","9个月","2.93270"
"2007-02-25","30天","2.70360"
"2007-02-25","6个月","2.87290"
"2007-02-26","1年","3.00280"
"2007-02-26","1天","1.79200"
"2007-02-26","14天","2.90530"
"2007-02-26","30天","2.69640"
"2007-02-26","6个月","2.87290"
"2007-02-26","90天","2.86370"
"2007-02-26","9个月","2.93280"
"2007-02-26","7天","2.66620"
"2007-02-27","1天","1.69280"
"2007-02-27","1年","3.00280"
"2007-02-27","6个月","2.87290"
"2007-02-27","7天","2.53130"
"2007-02-27","90天","2.86160"
"2007-02-27","9个月","2.93280"
"2007-02-27","30天","2.68910"
"2007-02-27","14天","2.74480"
"2007-02-28","1年","3.00280"
"2007-02-28","30天","2.53260"
"2007-02-28","7天","1.99190"
"2007-02-28","9个月","2.93270"
"2007-02-28","90天","2.85390"
"2007-02-28","6个月","2.87280"
"2007-02-28","14天","2.14960"
"2007-02-28","1天","1.65260"
"2007-03-01","1年","3.00280"
"2007-03-01","30天","2.46240"
"2007-03-01","14天","1.91780"
"2007-03-01","9个月","2.93260"
"2007-03-01","1天","1.59030"
"2007-03-01","6个月","2.87260"
