期权代码,交易代码,期权简称,标的代码,类型,认购/认沽,行权方式,行权价,合约单位,到期月份,上市日,到期日,行权日,行权交收日,上市首日参考价,挂牌原因,结算方式,交易状态
10000118,510050P1504M02850,50ETF沽2015年4月2850,510050.SH,ETF期权,认沽,欧式,2.85,10000,2015-04,2015-03-31,2015-04-22,2015-04-22,2015-04-23,0.1505,波动加挂,实物资产,退市
10000119,510050C1505M02800,50ETF购2015年5月2800,510050.SH,ETF期权,认购,欧式,2.8,10000,2015-05,2015-03-31,2015-05-27,2015-05-27,2015-05-28,0.1011,波动加挂,实物资产,退市
10000120,510050C1505M02850,50ETF购2015年5月2850,510050.SH,ETF期权,认购,欧式,2.85,10000,2015-05,2015-03-31,2015-05-27,2015-05-27,2015-05-28,0.0816,波动加挂,实物资产,退市
10000121,510050P1505M02800,50ETF沽2015年5月2800,510050.SH,ETF期权,认沽,欧式,2.8,10000,2015-05,2015-03-31,2015-05-27,2015-05-27,2015-05-28,0.1565,波动加挂,实物资产,退市
10000122,510050P1505M02850,50ETF沽2015年5月2850,510050.SH,ETF期权,认沽,欧式,2.85,10000,2015-05,2015-03-31,2015-05-27,2015-05-27,2015-05-28,0.1864,波动加挂,实物资产,退市
10000123,510050C1506M02850,50ETF购2015年6月2850,510050.SH,ETF期权,认购,欧式,2.85,10000,2015-06,2015-03-31,2015-06-24,2015-06-24,2015-06-25,0.1023,波动加挂,实物资产,退市
10000124,510050P1506M02850,50ETF沽2015年6月2850,510050.SH,ETF期权,认沽,欧式,2.85,10000,2015-06,2015-03-31,2015-06-24,2015-06-24,2015-06-25,0.2024,波动加挂,实物资产,退市
10000125,510050C1509M02850,50ETF购2015年9月2850,510050.SH,ETF期权,认购,欧式,2.85,10000,2015-09,2015-03-31,2015-09-23,2015-09-23,2015-09-24,0.1557,波动加挂,实物资产,退市
10000126,510050P1509M02850,50ETF沽2015年9月2850,510050.SH,ETF期权,认沽,欧式,2.85,10000,2015-09,2015-03-31,2015-09-23,2015-09-23,2015-09-24,0.2414,波动加挂,实物资产,退市
10000127,510050C1504M02900,50ETF购2015年4月2900,510050.SH,ETF期权,认购,欧式,2.9,10000,2015-04,2015-04-08,2015-04-22,2015-04-22,2015-04-23,0.0542,波动加挂,实物资产,退市
10000128,510050C1504M02950,50ETF购2015年4月2950,510050.SH,ETF期权,认购,欧式,2.95,10000,2015-04,2015-04-08,2015-04-22,2015-04-22,2015-04-23,0.0376,波动加挂,实物资产,退市
10000129,510050P1504M02900,50ETF沽2015年4月2900,510050.SH,ETF期权,认沽,欧式,2.9,10000,2015-04,2015-04-08,2015-04-22,2015-04-22,2015-04-23,0.1219,波动加挂,实物资产,退市
